               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.076359,             0.01507,            0.008037,             0.28394,              0.4147,             0.22523,            0.090063,            0.089811,           0.0095523,           0.0068765,           0.0048226,           0.0048226,            0.050823
                  55,            0.079973,            0.016434,           0.0095091,             0.28394,              0.4147,             0.22523,            0.090063,            0.089811,           0.0095523,           0.0068765,           0.0049011,           0.0049011,            0.049901
                  56,            0.076947,            0.017216,           0.0092721,             0.16066,             0.45455,             0.13899,            0.059355,            0.080032,            0.010339,           0.0066052,           0.0049791,           0.0049791,            0.048979
                  57,            0.078796,            0.018368,           0.0084359,             0.16066,             0.45455,             0.13899,            0.059355,            0.080032,            0.010339,           0.0066052,           0.0050567,           0.0050567,            0.048057
                  58,            0.080216,            0.019576,           0.0083483,             0.16066,             0.45455,             0.13899,            0.059355,            0.080032,            0.010339,           0.0066052,           0.0051339,           0.0051339,            0.047134
                  59,            0.076806,             0.01658,           0.0080197,             0.17872,             0.27273,             0.10622,            0.028792,             0.10056,           0.0090961,           0.0062594,           0.0052108,           0.0052108,            0.046211
                  60,            0.087974,            0.016704,            0.007979,             0.17872,             0.27273,             0.10622,            0.028792,             0.10056,           0.0090961,           0.0062594,           0.0052872,           0.0052872,            0.045287
                  61,            0.092255,             0.01345,           0.0075997,             0.17872,             0.27273,             0.10622,            0.028792,             0.10056,           0.0090961,           0.0062594,           0.0053632,           0.0053632,            0.044363
                  62,            0.087892,            0.015447,           0.0080635,             0.14652,                 0.5,             0.11512,            0.035725,            0.099405,           0.0090222,           0.0063533,           0.0054389,           0.0054389,            0.043439
                  63,            0.091215,            0.014215,           0.0092051,             0.14652,                 0.5,             0.11512,            0.035725,            0.099405,           0.0090222,           0.0063533,           0.0055141,           0.0055141,            0.042514
                  64,            0.090069,            0.013727,           0.0078391,             0.14652,                 0.5,             0.11512,            0.035725,            0.099405,           0.0090222,           0.0063533,            0.005589,            0.005589,            0.041589
                  65,            0.089109,            0.015335,           0.0080674,             0.29978,             0.36364,             0.17396,            0.041588,              0.1017,             0.00882,           0.0062429,           0.0056635,           0.0056635,            0.040663
                  66,              0.1011,            0.012993,           0.0080282,             0.29978,             0.36364,             0.17396,            0.041588,              0.1017,             0.00882,           0.0062429,           0.0057375,           0.0057375,            0.039738
                  67,             0.10055,            0.014256,           0.0088843,             0.29978,             0.36364,             0.17396,            0.041588,              0.1017,             0.00882,           0.0062429,           0.0058112,           0.0058112,            0.038811
                  68,             0.10052,            0.013356,           0.0080377,             0.33257,             0.52127,             0.28271,             0.10567,            0.096359,           0.0083757,           0.0061066,           0.0058844,           0.0058844,            0.037884
                  69,            0.090371,            0.018091,           0.0076812,             0.33257,             0.52127,             0.28271,             0.10567,            0.096359,           0.0083757,           0.0061066,           0.0059573,           0.0059573,            0.036957
                  70,             0.08912,            0.011973,           0.0079557,             0.33257,             0.52127,             0.28271,             0.10567,            0.096359,           0.0083757,           0.0061066,           0.0060298,           0.0060298,             0.03603
                  71,            0.094548,            0.014249,           0.0070752,              0.1014,             0.36364,            0.086564,            0.034179,             0.10159,           0.0083126,           0.0062624,           0.0061019,           0.0061019,            0.035102
                  72,            0.093804,            0.012617,           0.0071307,              0.1014,             0.36364,            0.086564,            0.034179,             0.10159,           0.0083126,           0.0062624,           0.0061736,           0.0061736,            0.034174
                  73,            0.093537,            0.013151,           0.0079164,              0.1014,             0.36364,            0.086564,            0.034179,             0.10159,           0.0083126,           0.0062624,           0.0062449,           0.0062449,            0.033245
                  74,            0.092728,            0.014092,           0.0082737,             0.44833,             0.40909,             0.34596,              0.1294,            0.089036,           0.0085932,           0.0062254,           0.0063158,           0.0063158,            0.032316
                  75,            0.089078,            0.015519,           0.0072107,             0.44833,             0.40909,             0.34596,              0.1294,            0.089036,           0.0085932,           0.0062254,           0.0063862,           0.0063862,            0.031386
                  76,            0.083497,            0.014495,           0.0077753,             0.44833,             0.40909,             0.34596,              0.1294,            0.089036,           0.0085932,           0.0062254,           0.0064564,           0.0064564,            0.030456
                  77,             0.08665,              0.0167,           0.0074805,             0.41039,             0.40909,             0.39592,             0.11674,            0.087023,           0.0089237,           0.0065111,           0.0065261,           0.0065261,            0.029526
                  78,             0.08298,            0.016173,           0.0082369,             0.41039,             0.40909,             0.39592,             0.11674,            0.087023,           0.0089237,           0.0065111,           0.0065954,           0.0065954,            0.028595
                  79,            0.081385,            0.017697,           0.0083374,             0.41039,             0.40909,             0.39592,             0.11674,            0.087023,           0.0089237,           0.0065111,           0.0066643,           0.0066643,            0.027664
                  80,            0.083731,            0.020428,           0.0085297,             0.26637,             0.36364,             0.14623,             0.06185,            0.087484,           0.0087857,           0.0066641,           0.0067328,           0.0067328,            0.026733
                  81,            0.083247,            0.014509,           0.0083412,             0.26637,             0.36364,             0.14623,             0.06185,            0.087484,           0.0087857,           0.0066641,           0.0068009,           0.0068009,            0.025801
                  82,            0.088892,            0.015627,           0.0080852,             0.26637,             0.36364,             0.14623,             0.06185,            0.087484,           0.0087857,           0.0066641,           0.0068686,           0.0068686,            0.024869
                  83,            0.086841,            0.015611,           0.0080579,             0.22266,             0.36364,             0.18547,            0.064068,            0.076321,           0.0092935,           0.0063892,            0.006936,            0.006936,            0.023936
                  84,            0.079898,            0.014063,           0.0073513,             0.22266,             0.36364,             0.18547,            0.064068,            0.076321,           0.0092935,           0.0063892,           0.0070029,           0.0070029,            0.023003
                  85,            0.076104,            0.018606,           0.0078712,             0.22266,             0.36364,             0.18547,            0.064068,            0.076321,           0.0092935,           0.0063892,           0.0070694,           0.0070694,            0.022069
                  86,            0.076289,             0.01465,           0.0079226,             0.22266,             0.36364,             0.18547,            0.064068,            0.076321,           0.0092935,           0.0063892,           0.0071356,           0.0071356,            0.021136
                  87,            0.075717,            0.016299,           0.0078411,              0.3969,                 0.5,             0.37963,             0.16412,            0.080428,           0.0085767,           0.0060337,           0.0072013,           0.0072013,            0.020201
